OrderNumber,Sales Channel,WarehouseCode,OrderDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price
SO - 0001690,In-Store,WARE-NMK1003,6/12/2018,USD,7,14,178,47,5,0.1,1276.35,2552.7
SO - 0001691,In-Store,WARE-MKL1006,6/12/2018,USD,5,12,355,18,8,0.05,768.83,1025.1
SO - 0001692,Distributor,WARE-UHY1004,6/12/2018,USD,23,34,245,31,7,0.15,668.93,1045.2
SO - 0001695,In-Store,WARE-NMK1003,7/12/2018,USD,9,23,121,34,6,0.2,816.6,1855.9
SO - 0001696,In-Store,WARE-PUJ1005,7/12/2018,USD,1,30,319,29,6,0.05,2295.42,3825.7
SO - 0001698,In-Store,WARE-NMK1003,7/12/2018,USD,3,9,122,47,8,0.08,375.87,737
SO - 0001705,In-Store,WARE-NBV1002,8/12/2018,USD,1,49,70,11,2,0.05,924.6,2010
SO - 0001708,Online,WARE-MKL1006,8/12/2018,USD,20,24,364,23,7,0.05,797.3,1139
SO - 0001712,In-Store,WARE-MKL1006,9/12/2018,USD,1,45,349,35,5,0.15,2972.66,5038.4
SO - 0001713,In-Store,WARE-NMK1003,9/12/2018,USD,1,11,141,14,5,0.05,561.06,1058.6
SO - 0001715,In-Store,WARE-NMK1003,9/12/2018,USD,2,24,141,24,1,0.1,2505.26,3296.4
SO - 0001716,In-Store,WARE-NMK1003,9/12/2018,USD,12,7,166,30,6,0.05,2711.09,5648.1
SO - 0001718,In-Store,WARE-PUJ1005,9/12/2018,USD,2,25,302,31,4,0.08,2224.4,2680
SO - 0001719,In-Store,WARE-UHY1004,10/12/2018,USD,10,42,231,36,8,0.05,2860.77,3865.9
SO - 0001720,In-Store,WARE-NMK1003,10/12/2018,USD,7,35,151,2,1,0.08,399.59,951.4
SO - 0001722,In-Store,WARE-UHY1004,11/12/2018,USD,5,3,246,1,3,0.1,3119.92,3999.9
SO - 0001724,Distributor,WARE-XYS1001,11/12/2018,USD,24,30,1,6,2,0.3,633.49,1038.5
SO - 0001726,In-Store,WARE-UHY1004,11/12/2018,USD,8,40,217,26,5,0.4,808.15,1092.1
SO - 0001727,Wholesale,WARE-NMK1003,11/12/2018,USD,26,9,128,5,3,0.05,2715.51,3879.3
SO - 0001728,In-Store,WARE-UHY1004,11/12/2018,USD,6,31,250,27,6,0.1,2027.69,2599.6
SO - 0001729,In-Store,WARE-NMK1003,11/12/2018,USD,2,33,202,37,2,0.05,485.01,850.9
SO - 0001730,Wholesale,WARE-NMK1003,12/12/2018,USD,27,47,106,20,2,0.1,773.85,1031.8
SO - 0001734,In-Store,WARE-NMK1003,12/12/2018,USD,5,25,136,15,3,0.05,168.24,207.7
SO - 0001738,In-Store,WARE-MKL1006,12/12/2018,USD,9,49,358,36,7,0.4,1341.34,1916.2
SO - 0001739,In-Store,WARE-NMK1003,12/12/2018,USD,9,8,110,28,8,0.3,2238.14,2633.1
SO - 0001742,Online,WARE-UHY1004,12/12/2018,USD,13,20,245,34,1,0.05,545.38,991.6
SO - 0001743,Wholesale,WARE-NMK1003,12/12/2018,USD,28,49,192,13,4,0.08,1660.19,2338.3
SO - 0001938,In-Store,WARE-PUJ1005,1/1/2019,USD,5,35,282,44,8,0.08,644.88,1172.5
SO - 0001939,In-Store,WARE-MKL1006,1/1/2019,USD,2,4,353,39,4,0.08,924.6,2010
SO - 0001941,Wholesale,WARE-NMK1003,1/1/2019,USD,28,34,175,6,7,0.15,581.56,1038.5
SO - 0001944,Wholesale,WARE-PUJ1005,1/1/2019,USD,26,32,268,23,3,0.05,1970.81,3718.5
SO - 0001946,In-Store,WARE-NBV1002,1/1/2019,USD,1,34,59,41,3,0.1,518.25,797.3
SO - 0001949,In-Store,WARE-NMK1003,1/1/2019,USD,6,32,100,46,8,0.2,3212.65,6425.3
SO - 0001950,Online,WARE-NMK1003,1/1/2019,USD,14,28,177,36,7,0.08,956.89,1293.1
SO - 0001951,In-Store,WARE-NMK1003,1/1/2019,USD,4,38,113,2,1,0.15,3594.55,6197.5
SO - 0001952,In-Store,WARE-PUJ1005,2/1/2019,USD,1,12,325,4,3,0.3,3462.83,5869.2
SO - 0001955,In-Store,WARE-PUJ1005,2/1/2019,USD,1,26,313,24,1,0.1,3984.83,6532.5
SO - 0001959,In-Store,WARE-PUJ1005,2/1/2019,USD,7,23,305,3,4,0.05,1306.5,2512.5
SO - 0001960,Online,WARE-PUJ1005,2/1/2019,USD,15,42,303,26,7,0.05,2032.65,2639.8
SO - 0001962,In-Store,WARE-PUJ1005,3/1/2019,USD,9,5,262,10,1,0.05,757.37,1051.9
SO - 0001963,Online,WARE-NMK1003,3/1/2019,USD,17,33,186,44,7,0.05,1482.44,2003.3
SO - 0001972,Online,WARE-UHY1004,4/1/2019,USD,17,43,258,44,8,0.2,1613.36,2304.8
SO - 0001973,In-Store,WARE-NMK1003,4/1/2019,USD,3,26,178,8,3,0.05,2802.54,3839.1
SO - 0001980,In-Store,WARE-NMK1003,4/1/2019,USD,11,12,137,20,1,0.2,574.86,871
SO - 0001981,In-Store,WARE-XYS1001,4/1/2019,USD,8,5,33,43,6,0.08,2910.88,3731.9
SO - 0001982,Wholesale,WARE-UHY1004,4/1/2019,USD,28,22,208,37,8,0.15,968.49,1976.5
SO - 0001988,Distributor,WARE-UHY1004,4/1/2019,USD,21,49,255,12,2,0.08,944.1,1226.1
SO - 0001989,In-Store,WARE-XYS1001,5/1/2019,USD,4,28,24,41,4,0.08,4176.91,5721.8
SO - 0001990,In-Store,WARE-NMK1003,5/1/2019,USD,4,23,115,3,7,0.05,1473.2,3202.6
SO - 0001991,Online,WARE-UHY1004,5/1/2019,USD,14,31,247,30,5,0.1,1394.74,1721.9
SO - 0001995,Wholesale,WARE-XYS1001,5/1/2019,USD,26,19,24,20,8,0.15,1202.99,2673.3
SO - 0001997,In-Store,WARE-MKL1006,5/1/2019,USD,3,1,335,24,4,0.08,864.3,2010
SO - 0001999,In-Store,WARE-UHY1004,6/1/2019,USD,1,41,234,22,8,0.08,1676.61,2465.6
SO - 0002000,Online,WARE-NMK1003,6/1/2019,USD,18,23,200,39,1,0.05,2284.83,3872.6
SO - 0002003,Distributor,WARE-UHY1004,6/1/2019,USD,20,4,224,16,1,0.08,745.17,1112.2
SO - 0002005,In-Store,WARE-NMK1003,6/1/2019,USD,7,2,189,15,1,0.05,846.08,1922.9
SO - 0002006,Distributor,WARE-NMK1003,7/1/2019,USD,24,14,133,35,5,0.05,1078.16,1996.6
SO - 0002009,Online,WARE-NMK1003,7/1/2019,USD,13,42,163,12,6,0.08,440.32,830.8
SO - 0002010,In-Store,WARE-PUJ1005,7/1/2019,USD,5,4,308,18,6,0.05,543.5,1045.2
SO - 0002011,Online,WARE-NMK1003,7/1/2019,USD,17,35,134,33,1,0.1,512.55,1025.1
SO - 0002015,Online,WARE-PUJ1005,7/1/2019,USD,20,39,289,27,1,0.08,678.44,1112.2
SO - 0002016,Distributor,WARE-NMK1003,7/1/2019,USD,21,42,162,38,6,0.2,752.54,1045.2
SO - 0002022,In-Store,WARE-PUJ1005,8/1/2019,USD,11,43,310,7,1,0.1,464.31,1105.5
SO - 0002024,In-Store,WARE-PUJ1005,8/1/2019,USD,4,21,319,46,2,0.08,3230.47,3939.6
SO - 0002027,Online,WARE-XYS1001,8/1/2019,USD,13,33,44,19,7,0.05,2672.97,3383.5
SO - 0002028,In-Store,WARE-PUJ1005,8/1/2019,USD,11,1,263,30,8,0.05,335.13,817.4
SO - 0002029,In-Store,WARE-XYS1001,8/1/2019,USD,5,38,47,17,2,0.1,550.14,1078.7
SO - 0002032,Distributor,WARE-NMK1003,9/1/2019,USD,24,47,159,39,5,0.08,142.71,201
SO - 0002033,In-Store,WARE-NMK1003,9/1/2019,USD,2,34,133,3,6,0.08,2377.83,3396.9
SO - 0002034,In-Store,WARE-UHY1004,9/1/2019,USD,10,48,232,16,6,0.1,681.79,1065.3
SO - 0002035,Distributor,WARE-PUJ1005,9/1/2019,USD,21,10,310,3,5,0.08,3257.94,3973.1
SO - 0002036,In-Store,WARE-UHY1004,9/1/2019,USD,1,14,211,46,8,0.05,1170.09,1983.2
SO - 0002037,Wholesale,WARE-MKL1006,9/1/2019,USD,27,43,356,40,2,0.4,1466.5,1929.6
SO - 0002039,Distributor,WARE-UHY1004,10/1/2019,USD,24,38,205,23,7,0.2,2239.94,3999.9
SO - 0002040,In-Store,WARE-NMK1003,10/1/2019,USD,1,4,162,1,4,0.3,1519.56,1809
SO - 0002041,Online,WARE-UHY1004,10/1/2019,USD,13,17,221,6,5,0.08,2744.32,3430.4
SO - 0002043,Distributor,WARE-NBV1002,10/1/2019,USD,24,2,83,33,1,0.08,536.2,1011.7
SO - 0002044,In-Store,WARE-PUJ1005,10/1/2019,USD,1,5,313,22,7,0.05,135.07,214.4
SO - 0002045,Online,WARE-NMK1003,10/1/2019,USD,17,38,138,31,1,0.2,1464.69,2324.9
SO - 0002054,In-Store,WARE-NBV1002,11/1/2019,USD,10,30,87,42,3,0.05,497.41,857.6
SO - 0002055,Online,WARE-XYS1001,11/1/2019,USD,20,4,11,17,2,0.1,960.58,1185.9
SO - 0002061,In-Store,WARE-UHY1004,11/1/2019,USD,4,35,257,32,7,0.05,1998.95,3075.3
SO - 0002062,Online,WARE-UHY1004,11/1/2019,USD,17,29,251,8,6,0.2,2682.14,5587.8
SO - 0002064,Distributor,WARE-NMK1003,12/1/2019,USD,22,6,172,45,1,0.05,2737.62,6083.6
SO - 0002065,Online,WARE-PUJ1005,12/1/2019,USD,19,31,285,8,4,0.1,665.71,964.8
SO - 0002066,In-Store,WARE-PUJ1005,12/1/2019,USD,6,27,307,30,2,0.08,133.2,187.6
SO - 0002070,In-Store,WARE-NMK1003,12/1/2019,USD,3,50,127,37,7,0.2,159.93,207.7
SO - 0002071,Distributor,WARE-PUJ1005,12/1/2019,USD,21,20,283,41,5,0.2,3308.8,3892.7
SO - 0002072,In-Store,WARE-PUJ1005,12/1/2019,USD,11,1,316,16,7,0.05,1713.06,2519.2
SO - 0002073,In-Store,WARE-NBV1002,12/1/2019,USD,11,41,64,33,2,0.08,1460.6,2921.2
SO - 0002230,In-Store,WARE-PUJ1005,1/2/2019,USD,2,4,302,42,1,0.4,1149.18,1715.2
SO - 0002232,Online,WARE-NBV1002,1/2/2019,USD,16,4,84,35,1,0.3,2581.18,3852.5
SO - 0002234,Online,WARE-NMK1003,1/2/2019,USD,14,23,124,17,3,0.05,827.99,1118.9
SO - 0002235,Distributor,WARE-UHY1004,2/2/2019,USD,21,40,243,15,2,0.08,709.87,1092.1
SO - 0002238,Wholesale,WARE-NMK1003,2/2/2019,USD,26,21,90,8,6,0.1,546.85,1031.8
SO - 0002240,In-Store,WARE-NMK1003,3/2/2019,USD,5,31,139,27,2,0.1,1557.15,2552.7
SO - 0002241,In-Store,WARE-PUJ1005,3/2/2019,USD,4,9,272,19,3,0.05,829.06,1802.3
SO - 0002242,In-Store,WARE-PUJ1005,3/2/2019,USD,1,40,321,28,7,0.1,694.66,1085.4
SO - 0002243,Wholesale,WARE-MKL1006,3/2/2019,USD,26,35,363,24,4,0.15,2354.38,3363.4
SO - 0002245,Online,WARE-MKL1006,3/2/2019,USD,15,6,353,32,4,0.2,125.42,174.2
SO - 0002246,Distributor,WARE-NMK1003,3/2/2019,USD,24,11,168,21,2,0.1,671.14,1065.3
SO - 0002252,In-Store,WARE-XYS1001,4/2/2019,USD,9,45,56,36,1,0.05,2300.65,3899.4
SO - 0002253,Online,WARE-NMK1003,4/2/2019,USD,14,48,130,6,1,0.08,803.2,991.6
SO - 0002256,In-Store,WARE-NMK1003,5/2/2019,USD,12,24,178,41,3,0.2,501.16,911.2
SO - 0002258,Distributor,WARE-PUJ1005,5/2/2019,USD,23,48,312,7,5,0.08,708.79,998.3
SO - 0002260,Distributor,WARE-NMK1003,5/2/2019,USD,21,10,147,39,4,0.1,1459.46,2753.7
SO - 0002261,Wholesale,WARE-NBV1002,5/2/2019,USD,26,36,76,41,7,0.4,143.05,234.5
SO - 0002263,In-Store,WARE-UHY1004,5/2/2019,USD,5,37,219,39,2,0.1,449.97,978.2
SO - 0002265,Wholesale,WARE-XYS1001,5/2/2019,USD,26,33,21,16,7,0.15,528.56,1078.7
SO - 0002266,Wholesale,WARE-XYS1001,5/2/2019,USD,28,16,29,5,2,0.05,804.8,1829.1
SO - 0002268,Online,WARE-UHY1004,6/2/2019,USD,19,31,249,9,5,0.05,1894.22,3946.3
SO - 0002270,In-Store,WARE-NMK1003,6/2/2019,USD,8,37,202,15,6,0.15,1442.71,2365.1
SO - 0002275,Online,WARE-NMK1003,6/2/2019,USD,15,14,190,36,5,0.4,1806.05,3926.2
SO - 0002276,Online,WARE-UHY1004,6/2/2019,USD,14,8,218,22,8,0.05,712.88,938
SO - 0002277,In-Store,WARE-PUJ1005,7/2/2019,USD,5,44,297,31,6,0.08,2417.03,3718.5
SO - 0002279,Wholesale,WARE-NMK1003,7/2/2019,USD,26,21,100,45,5,0.05,3080.66,5601.2
SO - 0002280,Online,WARE-XYS1001,7/2/2019,USD,16,39,24,33,3,0.3,1861.06,3959.7
SO - 0002281,Online,WARE-NMK1003,7/2/2019,USD,18,1,155,34,5,0.15,720.92,1802.3
SO - 0002282,In-Store,WARE-XYS1001,7/2/2019,USD,3,39,30,7,3,0.05,1596.34,2418.7
SO - 0002286,Distributor,WARE-UHY1004,7/2/2019,USD,21,2,212,38,1,0.08,95.07,221.1
SO - 0002287,In-Store,WARE-XYS1001,7/2/2019,USD,4,24,30,22,2,0.1,93.8,187.6
SO - 0002289,Online,WARE-UHY1004,8/2/2019,USD,18,35,206,41,7,0.3,1799.75,2432.1
SO - 0002292,Distributor,WARE-PUJ1005,8/2/2019,USD,23,25,292,20,8,0.05,2785.86,3979.8
SO - 0002297,Online,WARE-MKL1006,9/2/2019,USD,12,12,332,44,4,0.1,1377.45,1788.9
SO - 0002300,In-Store,WARE-PUJ1005,9/2/2019,USD,8,44,300,2,8,0.15,612.05,971.5
SO - 0002301,In-Store,WARE-NMK1003,9/2/2019,USD,4,24,135,25,1,0.08,2482.42,3705.1
SO - 0002302,Distributor,WARE-MKL1006,9/2/2019,USD,25,25,330,23,6,0.08,110.95,241.2
SO - 0002304,In-Store,WARE-NMK1003,10/2/2019,USD,10,30,90,13,5,0.08,337.68,844.2
SO - 0002307,Online,WARE-XYS1001,10/2/2019,USD,12,17,12,44,4,0.08,78.73,167.5
SO - 0002313,Wholesale,WARE-PUJ1005,11/2/2019,USD,28,10,271,27,4,0.15,994.28,1876
SO - 0002314,In-Store,WARE-NMK1003,11/2/2019,USD,10,4,190,17,5,0.05,2774.07,6304.7
SO - 0002315,Distributor,WARE-UHY1004,11/2/2019,USD,21,17,236,45,4,0.1,569.23,964.8
SO - 0002316,In-Store,WARE-NMK1003,11/2/2019,USD,7,43,116,43,2,0.15,2780.7,3611.3
SO - 0002318,Distributor,WARE-UHY1004,11/2/2019,USD,24,38,225,8,2,0.15,1201.38,2793.9
SO - 0002319,In-Store,WARE-NMK1003,11/2/2019,USD,12,34,173,30,3,0.05,646.68,850.9
SO - 0002322,Wholesale,WARE-NMK1003,11/2/2019,USD,27,33,159,26,4,0.05,3578.14,6505.7
SO - 0002325,In-Store,WARE-NMK1003,12/2/2019,USD,7,47,97,9,5,0.05,674.96,978.2
SO - 0002327,In-Store,WARE-PUJ1005,12/2/2019,USD,11,7,322,31,4,0.08,167.23,214.4
SO - 0002328,Online,WARE-MKL1006,12/2/2019,USD,12,44,365,40,3,0.08,709.13,1125.6
SO - 0002332,Wholesale,WARE-PUJ1005,12/2/2019,USD,28,6,284,9,2,0.4,2632.56,5983.1
SO - 0002333,Online,WARE-PUJ1005,12/2/2019,USD,16,37,271,43,2,0.1,1135.45,1802.3
SO - 0002334,In-Store,WARE-XYS1001,12/2/2019,USD,3,36,26,40,7,0.08,2481.95,3939.6
SO - 0002464,In-Store,WARE-MKL1006,1/3/2019,USD,4,21,333,38,7,0.1,804.4,1165.8
SO - 0002465,Distributor,WARE-MKL1006,1/3/2019,USD,25,31,329,33,3,0.05,586.12,1085.4
SO - 0002467,In-Store,WARE-PUJ1005,1/3/2019,USD,2,9,320,30,5,0.05,1161.98,2472.3
SO - 0002469,Online,WARE-XYS1001,1/3/2019,USD,16,13,32,29,5,0.08,660.35,1031.8
SO - 0002470,Distributor,WARE-NMK1003,1/3/2019,USD,20,24,113,37,6,0.15,786.92,1748.7
SO - 0002471,In-Store,WARE-NMK1003,1/3/2019,USD,10,10,195,34,1,0.05,2090.4,2680
SO - 0002472,In-Store,WARE-UHY1004,1/3/2019,USD,9,39,232,17,3,0.05,4246.86,5179.1
SO - 0002479,Online,WARE-UHY1004,3/3/2019,USD,14,39,242,24,4,0.15,1704.08,3155.7
SO - 0002480,Online,WARE-NMK1003,3/3/2019,USD,17,22,145,39,1,0.15,3257.54,5922.8
SO - 0002483,Wholesale,WARE-PUJ1005,3/3/2019,USD,28,19,279,15,4,0.08,502.5,837.5
SO - 0002484,Wholesale,WARE-MKL1006,4/3/2019,USD,27,45,343,5,5,0.1,924.6,1340
SO - 0002485,Online,WARE-UHY1004,4/3/2019,USD,14,21,209,40,7,0.15,2389.89,2914.5
SO - 0002486,In-Store,WARE-XYS1001,4/3/2019,USD,7,5,47,23,6,0.1,721.19,1045.2
SO - 0002492,Wholesale,WARE-NMK1003,6/3/2019,USD,25,31,126,3,4,0.05,1201.18,2224.4
SO - 0002493,In-Store,WARE-MKL1006,6/3/2019,USD,4,49,351,6,2,0.05,674.29,911.2
SO - 0002494,In-Store,WARE-UHY1004,7/3/2019,USD,5,37,230,32,8,0.08,450.24,1072
SO - 0002495,Distributor,WARE-NMK1003,7/3/2019,USD,22,39,106,16,6,0.05,1381.47,1748.7
SO - 0002496,In-Store,WARE-PUJ1005,7/3/2019,USD,7,28,264,46,5,0.1,2102.06,2532.6
SO - 0002499,Online,WARE-UHY1004,8/3/2019,USD,17,35,215,46,5,0.08,917.36,1092.1
SO - 0002502,In-Store,WARE-PUJ1005,8/3/2019,USD,10,42,297,23,5,0.1,2637.12,6432
SO - 0002506,In-Store,WARE-NMK1003,8/3/2019,USD,10,44,122,27,7,0.05,896.86,1949.7
SO - 0002508,In-Store,WARE-PUJ1005,8/3/2019,USD,1,48,262,20,7,0.08,1279.63,1802.3
SO - 0002509,Online,WARE-UHY1004,8/3/2019,USD,13,41,206,31,2,0.05,105.06,214.4
SO - 0002513,Online,WARE-NMK1003,9/3/2019,USD,16,21,155,18,2,0.08,1016.66,1882.7
SO - 0002516,In-Store,WARE-PUJ1005,9/3/2019,USD,1,17,322,40,8,0.08,2172.88,5299.7
SO - 0002517,Online,WARE-NBV1002,9/3/2019,USD,19,39,60,40,4,0.2,2917.72,3839.1
SO - 0002522,Distributor,WARE-PUJ1005,10/3/2019,USD,23,33,284,34,7,0.3,110.08,207.7
SO - 0002524,Online,WARE-NMK1003,11/3/2019,USD,18,13,124,1,6,0.1,1455.04,2552.7
SO - 0002527,In-Store,WARE-NMK1003,11/3/2019,USD,3,23,132,11,1,0.15,905.1,1145.7
SO - 0002528,Online,WARE-UHY1004,11/3/2019,USD,16,50,230,31,2,0.08,1407.4,2606.3
SO - 0002529,Online,WARE-PUJ1005,11/3/2019,USD,15,49,284,4,6,0.1,2228.35,2820.7
SO - 0002531,In-Store,WARE-NMK1003,11/3/2019,USD,11,27,140,21,7,0.08,706.18,1139
SO - 0002533,In-Store,WARE-NMK1003,11/3/2019,USD,8,19,139,45,6,0.2,3027.6,3832.4
SO - 0002534,Distributor,WARE-PUJ1005,12/3/2019,USD,22,48,326,10,7,0.08,1325.46,1815.7
SO - 0002677,In-Store,WARE-XYS1001,1/4/2019,USD,9,49,57,36,6,0.08,1878.14,2572.8
SO - 0002678,In-Store,WARE-NMK1003,1/4/2019,USD,5,39,180,39,3,0.4,581.56,830.8
SO - 0002680,Wholesale,WARE-NMK1003,1/4/2019,USD,28,38,117,12,7,0.05,2369.79,5266.2
SO - 0002691,In-Store,WARE-XYS1001,2/4/2019,USD,1,1,12,46,7,0.15,588.13,1031.8
SO - 0002694,In-Store,WARE-NMK1003,3/4/2019,USD,9,18,132,33,1,0.08,1037.16,1728.6
SO - 0002702,Online,WARE-NBV1002,4/4/2019,USD,14,20,74,45,1,0.05,491.45,1092.1
SO - 0002705,Distributor,WARE-NMK1003,4/4/2019,USD,21,17,137,1,1,0.08,544.98,1112.2
SO - 0002706,Online,WARE-NMK1003,4/4/2019,USD,18,47,181,38,2,0.15,1604.72,3731.9
SO - 0002707,Wholesale,WARE-UHY1004,4/4/2019,USD,26,28,214,27,7,0.05,1955.33,2572.8
SO - 0002708,In-Store,WARE-NMK1003,4/4/2019,USD,8,18,146,31,8,0.08,143.72,261.3
SO - 0002711,Online,WARE-UHY1004,4/4/2019,USD,16,17,237,23,1,0.05,219.76,268
SO - 0002712,Online,WARE-PUJ1005,4/4/2019,USD,13,18,320,33,2,0.05,2123.77,3932.9
SO - 0002715,Online,WARE-PUJ1005,4/4/2019,USD,20,27,282,38,4,0.1,2495.42,3839.1
SO - 0002716,In-Store,WARE-XYS1001,5/4/2019,USD,8,5,26,44,1,0.3,793.95,1058.6
SO - 0002723,In-Store,WARE-UHY1004,5/4/2019,USD,8,20,217,44,6,0.08,1396.28,3490.7
SO - 0002728,In-Store,WARE-PUJ1005,6/4/2019,USD,2,47,286,44,8,0.05,878.64,1112.2
SO - 0002729,In-Store,WARE-MKL1006,6/4/2019,USD,3,21,333,29,8,0.05,1995.46,2525.9
SO - 0002730,Distributor,WARE-PUJ1005,6/4/2019,USD,25,4,279,34,7,0.05,91.92,187.6
SO - 0002731,Online,WARE-UHY1004,6/4/2019,USD,18,20,241,13,7,0.08,1317.76,1996.6
SO - 0002734,Distributor,WARE-MKL1006,6/4/2019,USD,23,11,352,37,8,0.15,1828.3,2539.3
SO - 0002736,In-Store,WARE-NBV1002,7/4/2019,USD,7,43,74,18,6,0.2,1919.95,3999.9
SO - 0002737,In-Store,WARE-NBV1002,7/4/2019,USD,4,20,73,32,8,0.05,678.04,1232.8
SO - 0002738,In-Store,WARE-PUJ1005,7/4/2019,USD,11,20,262,31,7,0.05,371.65,864.3
SO - 0002741,Distributor,WARE-XYS1001,7/4/2019,USD,23,48,3,17,2,0.15,1473.67,1775.5
SO - 0002743,In-Store,WARE-NMK1003,7/4/2019,USD,9,4,92,22,1,0.05,3142.23,3879.3
SO - 0002746,Wholesale,WARE-PUJ1005,8/4/2019,USD,26,9,300,12,1,0.05,82.08,167.5
SO - 0002747,Online,WARE-PUJ1005,8/4/2019,USD,18,21,277,24,8,0.1,438.98,1045.2
SO - 0002748,Distributor,WARE-MKL1006,8/4/2019,USD,24,19,348,20,7,0.08,146.33,174.2
SO - 0002749,Online,WARE-XYS1001,8/4/2019,USD,13,37,14,31,5,0.05,879.04,1098.8
SO - 0002752,Online,WARE-NMK1003,8/4/2019,USD,19,22,142,31,1,0.08,481.8,1025.1
SO - 0002755,Distributor,WARE-NMK1003,9/4/2019,USD,21,48,119,12,5,0.05,606.02,904.5
SO - 0002758,Online,WARE-NMK1003,9/4/2019,USD,17,14,132,7,8,0.05,642.2,904.5
SO - 0002760,In-Store,WARE-PUJ1005,9/4/2019,USD,2,26,319,9,5,0.4,2766.56,3738.6
SO - 0002761,Online,WARE-NMK1003,10/4/2019,USD,13,45,124,35,5,0.4,806.35,971.5
SO - 0002764,Wholesale,WARE-NMK1003,10/4/2019,USD,26,36,130,6,4,0.05,1451.22,2418.7
SO - 0002765,In-Store,WARE-NMK1003,10/4/2019,USD,1,27,196,8,7,0.1,139.03,167.5
SO - 0002768,In-Store,WARE-NMK1003,10/4/2019,USD,5,18,128,38,8,0.05,3296.4,5494
SO - 0002769,In-Store,WARE-PUJ1005,10/4/2019,USD,9,47,284,21,8,0.08,2137.3,3886
SO - 0002771,In-Store,WARE-NMK1003,11/4/2019,USD,5,38,124,45,5,0.05,4372.96,5205.9
SO - 0002772,Wholesale,WARE-MKL1006,11/4/2019,USD,28,35,343,19,7,0.05,1336.18,1735.3
SO - 0002775,Distributor,WARE-NMK1003,11/4/2019,USD,21,1,105,29,4,0.08,502.3,984.9
SO - 0002777,Distributor,WARE-PUJ1005,12/4/2019,USD,22,10,304,31,7,0.3,3402.66,5078.6
SO - 0002948,Distributor,WARE-NBV1002,1/5/2019,USD,21,18,63,31,2,0.15,2657.49,3966.4
SO - 0002953,In-Store,WARE-XYS1001,2/5/2019,USD,2,39,12,14,3,0.05,697.07,1025.1
SO - 0002957,Distributor,WARE-NMK1003,2/5/2019,USD,23,36,189,13,6,0.1,1248.34,1835.8
SO - 0002958,In-Store,WARE-NMK1003,2/5/2019,USD,12,20,143,15,2,0.05,1558.15,2291.4
SO - 0002962,In-Store,WARE-MKL1006,2/5/2019,USD,5,25,358,10,6,0.05,3228.06,5380.1
SO - 0002964,Online,WARE-XYS1001,3/5/2019,USD,14,6,50,27,2,0.08,920.98,1165.8
SO - 0002969,Online,WARE-PUJ1005,3/5/2019,USD,19,27,284,23,8,0.08,2063.13,2485.7
SO - 0002971,Distributor,WARE-XYS1001,3/5/2019,USD,20,14,26,22,3,0.08,90.45,167.5
SO - 0002974,Distributor,WARE-UHY1004,4/5/2019,USD,22,14,207,1,7,0.08,1186.57,1695.1
SO - 0002978,Online,WARE-NMK1003,4/5/2019,USD,19,29,174,45,8,0.05,744.3,1078.7
SO - 0002981,Wholesale,WARE-PUJ1005,4/5/2019,USD,27,36,325,40,3,0.08,3263.24,3839.1
SO - 0002984,Online,WARE-PUJ1005,4/5/2019,USD,19,27,276,12,2,0.05,437.91,1018.4
SO - 0002985,In-Store,WARE-UHY1004,4/5/2019,USD,5,19,230,46,6,0.1,1027.11,2445.5
SO - 0002992,In-Store,WARE-NMK1003,5/5/2019,USD,8,11,122,10,4,0.1,2904.45,3872.6
SO - 0002998,Distributor,WARE-NMK1003,5/5/2019,USD,24,32,127,26,1,0.08,117.12,254.6
SO - 0003002,Online,WARE-PUJ1005,6/5/2019,USD,18,8,270,2,7,0.3,1753.79,2740.3
SO - 0003003,In-Store,WARE-PUJ1005,6/5/2019,USD,1,19,280,5,3,0.05,1576.51,2425.4
SO - 0003005,In-Store,WARE-PUJ1005,6/5/2019,USD,9,20,325,7,5,0.1,675.36,1125.6
SO - 0003006,In-Store,WARE-NMK1003,6/5/2019,USD,12,17,183,6,6,0.1,1483.38,2472.3
SO - 0003007,Online,WARE-UHY1004,7/5/2019,USD,19,13,258,19,7,0.1,1096.05,2673.3
SO - 0003008,Online,WARE-NMK1003,7/5/2019,USD,15,14,141,28,6,0.3,403.07,857.6
SO - 0003009,Online,WARE-XYS1001,7/5/2019,USD,13,50,52,41,5,0.05,1019.14,2485.7
SO - 0003010,Wholesale,WARE-NMK1003,7/5/2019,USD,27,47,148,36,7,0.05,1990.17,2519.2
SO - 0003011,In-Store,WARE-NBV1002,7/5/2019,USD,9,24,75,17,4,0.2,618.41,951.4
SO - 0003012,Wholesale,WARE-NMK1003,7/5/2019,USD,28,41,181,18,5,0.08,2528.65,3463.9
SO - 0003015,In-Store,WARE-NMK1003,7/5/2019,USD,9,46,121,14,5,0.05,1802.97,2613
SO - 0003016,In-Store,WARE-UHY1004,8/5/2019,USD,8,2,210,35,4,0.08,2954.97,3993.2
SO - 0003017,Online,WARE-PUJ1005,8/5/2019,USD,20,3,319,20,3,0.05,2540.91,3343.3
SO - 0003019,Distributor,WARE-NMK1003,8/5/2019,USD,24,47,197,1,3,0.08,211.32,254.6
SO - 0003020,Wholesale,WARE-XYS1001,8/5/2019,USD,27,9,26,39,8,0.08,798.24,1078.7
